year,bird,ram,pikense
1970,300,250,0
1971,400,220,0
1972,350,190,0
1973,480,0,0
1974,400,0,0
1975,480,0,0
1976,530,0,0
1977,500,0,0
1978,610,0,0
1979,680,0,0
1980,750,0,0
1981,750,0,0
1982,800,0,0
1983,850,0,0
1984,900,0,0
1985,1040,0,0
1986,1100,0,0
1987,1300,0,0
1988,1600,0,0
1989,1900,0,0
1990,1800,0,0
1991,1800,0,0
1992,1500,0,0
1993,1800,0,0
1994,1800,140,140
1995,1550,450,0
1996,1750,1200,0
1997,2020,980,0
1998,1950,1350,150
1999,1900,1900,100
2000,1900,2000,120
2001,2100,1900,300
2002,1700,2250,300
2003,2050,2000,750
2004,1800,2950,650
2005,1900,2200,800
2006,1900,2050,800
2007,1900,2200,900
2008,1600,2350,1100
2009,1850,4000,1100
2010,2000,3450,1050
